COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
11,4174.87,4178.97,4187.69,4184.62,4184.62,4184.1,4187.69,4183.59,4185.64,4194.36,4239.49,4947.69,4174.36,4185.13,2045,2039,89.018,0,0,0,0,
12,4192.82,4189.74,4185.64,4183.08,4178.46,4176.92,4173.33,4184.1,4188.21,4193.85,4245.64,4954.36,4193.85,4195.9,2044,2038,89.027,0,0,0,0,
13,4173.85,4181.03,4178.46,4183.59,4182.56,4180.51,4181.54,4185.13,4189.23,4189.74,4238.46,4944.1,4183.08,4185.64,2044,2036,89.033,0,0,0,0,
14,4179.49,4185.13,4187.18,4186.67,4182.56,4184.1,4183.59,4182.05,4186.67,4192.31,4240.51,4947.69,4181.54,4188.21,2044,2037,89.042,0,0,0,0,
15,4189.23,4188.72,4186.67,4180.51,4179.49,4178.97,4175.9,4184.1,4190.77,4197.44,4243.08,4947.18,4190.26,4193.33,2044,2038,89.051,0,0,0,0,
16,4174.87,4176.92,4184.62,4186.67,4186.15,4183.08,4182.05,4182.05,4185.13,4191.79,4240,4947.69,4176.92,4187.18,2044,2039,89.057,0,0,0,0,
17,4193.33,4185.64,4185.64,4186.67,4181.03,4180,4176.41,4184.1,4188.72,4191.28,4243.59,4951.28,4191.79,4195.9,2045,2039,89.064,0,0,0,0,
18,4178.46,4179.49,4182.05,4180.51,4184.1,4182.56,4188.21,4187.18,4188.72,4191.79,4239.49,4945.64,4181.54,4184.62,2044,2038,89.072,0,0,0,0,
19,4181.54,4183.08,4185.13,4185.13,4182.56,4180.51,4185.13,4183.08,4184.62,4190.77,4242.05,4950.26,4182.05,4189.23,2044,2038,89.08,0,0,0,0,
20,4189.23,4188.21,4181.03,4183.08,4176.41,4176.41,4174.36,4187.69,4189.74,4194.87,4240.51,4947.18,4191.79,4195.38,2045,2038,89.088,0,0,0,0,
21,4171.79,4176.92,4182.05,4185.13,4184.1,4186.15,4185.64,4187.69,4183.08,4188.72,4237.44,4947.18,4173.33,4180,2045,2037,89.097,0,0,0,0,
22,4190.77,4185.13,4185.13,4185.13,4180,4180.51,4178.46,4184.62,4186.67,4185.13,4244.62,4952.31,4189.74,4189.74,2045,2037,89.104,0,0,0,0,
23,4175.38,4179.49,4178.97,4183.08,4182.05,4181.03,4183.59,4185.13,4190.77,4188.21,4238.97,4945.13,4183.59,4185.64,2044,2038,89.112,0,0,0,0,
24,4177.95,4179.49,4184.62,4186.67,4187.18,4186.15,4185.13,4179.49,4183.59,4190.77,4240,4950.77,4177.44,4187.18,2045,2038,89.149,0,0,0,0,
25,4195.38,4183.59,4183.59,4181.03,4184.1,4180,4178.46,4181.03,4188.21,4192.31,4241.54,4949.74,4191.79,4196.92,2046,2038,89.153,0,0,0,0,
26,4173.33,4172.82,4181.54,4184.1,4185.64,4182.56,4188.21,4181.54,4186.15,4188.21,4235.9,4944.62,4175.38,4185.64,2045,2037,89.153,0,0,0,0,
27,4189.74,4184.62,4184.62,4185.64,4179.49,4179.49,4176.92,4180.51,4185.64,4189.74,4243.08,4949.74,4185.13,4191.79,2043,2037,89.153,0,0,0,0,
28,4183.59,4180,4178.97,4179.49,4183.08,4181.54,4180,4184.62,4186.67,4192.82,4240.51,4945.64,4182.05,4187.18,2044,2039,89.157,0,0,0,0,
29,4175.9,4177.95,4183.59,4185.64,4188.21,4182.05,4184.1,4183.59,4181.03,4191.28,4240,4950.26,4180,4187.18,2044,2037,89.16,0,0,0,0,
30,4191.28,4187.69,4183.59,4185.64,4182.56,4175.9,4173.85,4188.21,4187.69,4191.79,4242.56,4950.26,4192.31,4192.82,2044,2038,89.168,0,0,0,0,
31,4176.41,4176.92,4183.59,4186.67,4186.15,4184.1,4186.67,4187.18,4186.67,4190.77,4238.46,4947.69,4173.85,4181.03,2045,2038,89.175,0,0,0,0,
32,4188.72,4185.13,4189.74,4185.64,4180,4181.54,4179.49,4181.03,4187.69,4192.31,4243.08,4952.82,4189.23,4193.33,2044,2037,89.183,0,0,0,0,
33,4182.05,4182.05,4184.1,4181.54,4180.51,4178.97,4177.95,4185.13,4189.74,4191.79,4238.97,4946.15,4187.18,4191.28,2044,2037,89.191,0,0,0,0,
34,4179.49,4176.41,4185.13,4187.18,4184.62,4181.03,4184.1,4184.62,4181.54,4188.72,4237.95,4949.74,4173.85,4186.15,2043,2036,89.199,0,0,0,0,
35,4195.38,4186.67,4184.1,4180,4179.49,4174.36,4175.9,4182.05,4185.64,4190.26,4243.08,4951.79,4192.31,4195.38,2045,2036,89.206,0,0,0,0,
36,4173.33,4180,4181.03,4180.51,4185.64,4178.97,4188.21,4182.05,4186.15,4188.21,4239.49,4946.15,4177.95,4184.62,2045,2037,89.219,0,0,0,0,
37,4188.72,4183.08,4186.67,4187.69,4184.1,4178.97,4181.03,4184.62,4186.67,4189.23,4242.56,4950.26,4185.64,4192.82,2043,2037,89.222,0,0,0,0,
38,4187.18,4175.38,4182.56,4180.51,4183.59,4179.49,4175.38,4186.67,4190.26,4191.79,4240,4944.62,4188.21,4191.28,2043,2038,89.23,0,0,0,0,
